country_iso3,gco_country,who_region,income_label,hdi_label,source_population_label,mv_therapy_units,centres,last_update,cases_2024,deaths_2024,all40_2024,all39_2024,population_2024,cases_2025,deaths_2025,all40_2025,all39_2025,population_2025,cases_2030,deaths_2030,all40_2030,all39_2030,population_2030,cases_2040,deaths_2040,all40_2040,all39_2040,population_2040,rt_relevant_cases_2050,deaths_2050,all40_2050,all39_2050,population_2050,release2022_cases_2025,release2022_cases_2050,thirteen_site_cases_2024,thirteen_site_cases_2050,growth,mv_units_per_1000_rt_relevant_cases_2050,baseline_density,primary,support_7,additional_units_to_cross_cutoff,dirac_matched,high_growth_low_resource,current_screen_positive,selected_site_cases_per_mv_unit_2050,unit_pressure_rank,old_growth,new_growth,old_density,new_density,old_selected,new_selected,common,old_percentile,new_percentile,gco2022_common_year_growth_percentile,gco2024_common_year_growth_percentile,gco2024_selected_cases_2050,common_year_burden_version_transition,mv_units_per_1000_selected_site_cases_2050
BGD,Bangladesh,SEARO,Lower middle income,Medium HDI,Bangladesh,37.0,18.0,2026.0,117747,85565,185910,187263,173562374,121329,88202,191556,192953,175686907,140707,102527,222040,223677,186072416,185039,135955,292325,294543,202589437,233996,173880,371771,374690,214709106,116658.0,219123.0,114044,226530,0.9872778075025266,0.1581223610660011,0.3142330590163656,False,0,74.0,1,0,False,6324.216216216216,25.0,0.8783366764388212,0.9286073403720464,0.1688549353559416,0.1581223610660011,False,False,True,63.08724832214765,63.758389261744966,63.08724832214765,63.758389261744966,233996,Not screen-positive in either version,0.1581223610660011
ARM,Armenia,EURO,Upper middle income,High HDI,Armenia,8.0,2.0,2026.0,5995,2822,10547,10718,2973849,6099,2870,10726,10899,2952373,6678,3139,11719,11904,2851300,7844,3681,13721,13986,2665531,8441,4019,14715,15029,2495217,4771.0,6065.0,5693,7994,0.4080066722268556,0.947755005331122,1.3344453711426187,False,0,0.0,1,0,False,1055.125,67.0,0.2712219660448542,0.3839973766191178,1.3190436933223413,0.947755005331122,False,False,True,24.16107382550336,34.22818791946309,24.16107382550336,34.22818791946309,8441,Not screen-positive in either version,0.947755005331122
BRB,Barbados,PAHO,High income,Very High HDI,Barbados,3.0,1.0,2025.0,653,324,1053,1053,282471,662,330,1071,1071,282632,707,370,1151,1151,282498,754,447,1248,1248,276355,763,491,1267,1267,264224,658.0,787.0,610,713,0.1684532924961714,3.931847968545216,4.594180704441041,False,0,0.0,1,0,False,254.33333333333334,149.0,0.196048632218845,0.1525679758308156,3.811944091486658,3.931847968545216,False,False,True,20.13422818791946,18.12080536912752,20.13422818791946,18.12080536912752,763,Not screen-positive in either version,3.931847968545216
BEL,Belgium,EURO,High income,Very High HDI,Belgium,99.0,36.0,2023.0,42490,15059,71630,80019,11738771,43072,15317,72584,81127,11758612,45862,16756,77276,86724,11824151,50220,19808,85016,96545,11892216,52255,21803,88874,101826,11870914,44471.0,54932.0,40580,49806,0.229818780889621,1.8945555449239304,2.3299599905860204,False,0,0.0,1,0,False,527.8282828282828,122.0,0.2352319489105259,0.2132011515601783,1.8022282094225588,1.8945555449239304,False,False,True,22.14765100671141,22.14765100671141,22.14765100671141,22.14765100671141,52255,Not screen-positive in either version,1.8945555449239304
BTN,Bhutan,SEARO,Lower middle income,Medium HDI,Bhutan,,,,298,217,640,644,791535,306,221,658,662,796688,358,261,761,765,820704,479,361,1022,1029,862137,621,480,1328,1337,882347,304.0,650.0,280,579,1.0838926174496644,,,False,0,,0,0,False,,,1.138157894736842,1.0294117647058822,,,False,False,False,,,,,621,Not comparable,
BOL,Bolivia (Plurinational State of),PAHO,Lower middle income,Medium HDI,Bolivia (Plurinational State of),16.0,11.0,2025.0,6974,3591,16455,16995,12413324,7163,3690,16881,17435,12581851,8203,4239,19250,19882,13405571,10762,5624,25087,25917,14899406,13824,7336,32171,33263,16110170,7804.0,14659.0,6849,13579,0.982219673071408,1.1574074074074074,2.294235732721537,False,0,0.0,1,0,False,864.0,80.0,0.878395694515633,0.9299176322769788,1.0914796370830206,1.1574074074074074,False,False,True,63.758389261744966,64.42953020134227,63.758389261744966,64.42953020134227,13824,Not screen-positive in either version,1.1574074074074074
BIH,Bosnia Herzegovina,EURO,Upper middle income,High HDI,Bosnia Herzegovina,20.0,6.0,2026.0,8410,4884,14517,15108,3164263,8472,4936,14620,15217,3140103,8729,5186,15053,15685,3013984,8929,5488,15397,16126,2745019,8644,5454,14917,15673,2455176,7976.0,8692.0,7255,7438,0.0278240190249703,2.3137436372049978,2.378121284185493,False,0,0.0,1,0,False,432.2,140.0,0.0897693079237713,0.0203021718602454,2.300966405890474,2.3137436372049978,False,False,True,7.38255033557047,7.38255033557047,7.38255033557047,7.38255033557047,8644,Not screen-positive in either version,2.3137436372049978
BWA,Botswana,AFRO,Upper middle income,High HDI,Botswana,3.0,3.0,2026.0,1695,968,2793,2900,2521150,1753,1002,2889,3000,2562129,2083,1192,3419,3550,2765926,2919,1674,4736,4921,3126650,3992,2320,6389,6643,3437439,1436.0,3027.0,1658,3902,1.3551622418879057,0.751503006012024,1.7699115044247788,False,0,0.0,1,0,False,1330.6666666666667,51.0,1.1079387186629526,1.2772390188248717,0.9910802775024776,0.751503006012024,False,False,True,73.8255033557047,81.87919463087249,73.8255033557047,81.87919463087249,3992,Not screen-positive in either version,0.751503006012024
BRA,Brazil,PAHO,Upper middle income,High HDI,Brazil,370.0,221.0,2026.0,355826,147878,591293,640575,211998582,366459,152901,608544,659982,212812414,420284,178908,696191,759278,216074423,528109,234115,873155,963905,219237093,621883,285251,1027392,1145725,217489306,386297.0,666371.0,329595,575249,0.7477165805758994,0.5949672205221883,1.039834076205786,False,0,0.0,1,0,False,1680.7648648648649,42.0,0.7250224568143164,0.6970056677554652,0.5552462517126345,0.5949672205221883,False,False,True,51.67785234899329,51.67785234899329,51.67785234899329,51.67785234899329,621883,Not screen-positive in either version,0.5949672205221883
BLZ,Belize,PAHO,Lower middle income,High HDI,Belize,,,,255,111,415,415,417080,265,115,432,432,422932,323,142,523,523,449850,466,211,751,751,491605,639,298,1031,1031,516636,245.0,562.0,255,639,1.5058823529411764,,,False,0,,0,0,False,,,1.293877551020408,1.4113207547169813,,,False,False,False,,,,,639,Not comparable,
SLB,Solomon Islands,WPRO,Lower middle income,Medium HDI,Solomon Islands,,,,469,204,871,871,819207,487,211,903,903,838654,590,253,1082,1082,938357,838,366,1509,1509,1135464,1116,505,1977,1977,1309117,426.0,891.0,430,1021,1.3795309168443497,,,False,0,,0,0,False,,,1.091549295774648,1.2915811088295688,,,False,False,False,,,,,1116,Not comparable,
BRN,Brunei Darussalam,WPRO,High income,Very High HDI,Brunei Darussalam,2.0,1.0,2025.0,462,235,837,849,462732,480,244,868,880,466340,569,297,1032,1047,482458,754,409,1383,1406,505984,932,518,1716,1748,519559,563.0,1104.0,399,799,1.0173160173160172,2.145922746781116,4.329004329004329,False,0,0.0,1,0,False,466.0,133.0,0.9609236234458258,0.9416666666666668,1.8115942028985508,2.145922746781116,False,False,True,67.78523489932886,65.77181208053692,67.78523489932886,65.77181208053692,932,Not screen-positive in either version,2.145922746781116
BGR,Bulgaria,EURO,Upper middle income,High HDI,Bulgaria,48.0,25.0,2025.0,18375,10218,30664,31876,6757697,18398,10257,30709,31932,6714570,18390,10423,30733,32007,6458252,18146,10581,30353,31688,5907739,17498,10543,29333,30710,5402224,18186.0,17537.0,16651,15777,-0.0477278911564625,2.7431706480740656,2.6122448979591835,False,0,0.0,1,0,False,364.5416666666667,145.0,-0.0356867920378313,-0.0489183606913794,2.7370701944460283,2.7431706480740656,False,False,True,2.684563758389262,3.355704697986577,2.684563758389262,3.355704697986577,17498,Not screen-positive in either version,2.7431706480740656
MMR,Myanmar,SEARO,Lower middle income,Medium HDI,Myanmar,23.0,9.0,2025.0,41367,28455,73898,74903,54500100,42399,29206,75628,76658,54850658,47549,33002,84237,85402,56351040,57220,40286,100268,101708,58169869,65234,46461,113367,115044,58623239,44932.0,67929.0,39466,62219,0.5769574781830928,0.3525768770886348,0.5559987429593637,False,0,8.0,1,0,False,2836.2608695652175,34.0,0.5118178580966795,0.53857402297224,0.3385888206804163,0.3525768770886348,False,False,True,40.939597315436245,42.28187919463088,40.939597315436245,42.28187919463088,65234,Not screen-positive in either version,0.3525768770886348
BDI,Burundi,AFRO,Low income,Low HDI,Burundi,,,,4509,2796,7888,7992,14047794,4675,2902,8169,8277,14390010,5639,3531,9806,9936,16182029,8356,5287,14279,14466,20131330,12082,7662,20278,20532,24131728,5062.0,13684.0,4308,11541,1.679529829230428,,,False,0,,0,0,False,,,1.703279336230739,1.584385026737968,,,False,False,False,,,,,12082,Not comparable,
BLR,Belarus,EURO,Upper middle income,Very High HDI,Belarus,35.0,13.0,2024.0,25661,11584,45087,46420,9056702,25905,11712,45498,46852,8997612,26923,12316,47275,48752,8687641,27906,13262,49091,50856,8064474,28264,13704,49517,51408,7453553,27244.0,30027.0,23264,25445,0.101437979813725,1.238324370223606,1.363937492693192,False,0,0.0,1,0,False,807.5428571428571,88.0,0.1021509323153722,0.0910635012545839,1.1656176108169314,1.238324370223606,False,False,True,8.053691275167784,13.422818791946307,8.053691275167784,13.422818791946307,28264,Not screen-positive in either version,1.238324370223606
KHM,Cambodia,WPRO,Lower middle income,Medium HDI,Cambodia,3.0,3.0,2024.0,10528,6759,21775,22111,17638811,10832,6963,22398,22745,17847989,12426,8034,25654,26058,18827398,15890,10423,32720,33256,20540693,19377,12828,40008,40689,21931464,11025.0,20345.0,9559,17439,0.8405205167173253,0.1548227279764669,0.2849544072948328,False,0,7.0,1,0,False,6459.0,24.0,0.8453514739229024,0.7888663220088625,0.1474563774883263,0.1548227279764669,False,False,True,59.06040268456376,58.38926174496645,59.06040268456376,58.38926174496645,19377,Not screen-positive in either version,0.1548227279764669
CMR,Cameroon,AFRO,Lower middle income,Medium HDI,Cameroon,2.0,2.0,2023.0,8960,5274,15675,16087,29123753,9297,5473,16244,16670,29879344,11221,6627,19470,19977,33777197,16382,9768,27975,28712,42208014,23352,14039,39214,40291,51096329,12235.0,29826.0,8784,22906,1.6062500000000002,0.0856457690990065,0.2232142857142857,True,7,9.0,1,1,True,11676.0,11.0,1.4377605230894974,1.5117779929009356,0.0670555890833501,0.0856457690990065,True,True,True,89.26174496644296,95.3020134228188,89.26174496644296,95.3020134228188,23352,Retained,0.0856457690990065
CAN,Canada,PAHO,High income,Very High HDI,Canada,296.0,52.0,2026.0,135781,49064,241978,301741,39742438,138792,50449,247368,308997,40126735,152867,57816,273189,344837,41655600,175005,71736,315654,406034,43951427,190231,80883,344259,446167,45621892,143118.0,199599.0,127868,179388,0.4010133965724218,1.55600296481646,2.179980998814267,False,0,0.0,1,0,False,642.6722972972973,104.0,0.394646375717939,0.3706193440544123,1.4829733615899878,1.55600296481646,False,False,True,32.88590604026846,33.557046979865774,32.88590604026846,33.557046979865774,190231,Not screen-positive in either version,1.55600296481646
CPV,Cape Verde,AFRO,Lower middle income,Medium HDI,Cape Verde,,,,293,201,445,448,524886,302,207,460,463,527334,357,244,542,546,538625,488,338,726,732,557384,649,452,965,975,566144,318.0,773.0,281,622,1.2150170648464165,,,False,0,,0,0,False,,,1.4308176100628929,1.1490066225165565,,,False,False,False,,,,,649,Not comparable,
