country_iso3,old_growth,new_growth,old_density,new_density,old_selected,new_selected,common,old_percentile,new_percentile
AFG,1.532198192382182,1.6330282057006773,,,False,False,False,,
ALB,0.2731958762886597,0.11243929772132977,0.6228589224540642,0.6715916722632639,False,False,True,24.832214765100673,16.10738255033557
DZA,0.9141966463031399,0.8787745867577801,0.8405458294479978,0.7864243496639265,False,False,True,65.1006711409396,61.74496644295302
AGO,1.41025165399122,1.3503663231094003,0.0769605705343629,0.07924976885484084,True,True,True,87.24832214765101,89.93288590604027
AZE,0.6200077549437766,0.5909426169051482,0.5983724269985639,0.9272137227630969,False,False,True,46.308724832214764,44.966442953020135
ARG,0.5466816802383863,0.5130031003581692,1.1630591118134843,1.225742463087374,False,False,True,42.281879194630875,40.939597315436245
AUS,0.4786112301757395,0.454323655078656,1.8552875695732838,1.8695800956490531,False,False,True,39.59731543624161,36.91275167785235
AUT,0.22018277270075837,0.19719053225610006,1.8484877458010645,1.9669017905588715,False,False,True,20.80536912751678,20.80536912751678
BHS,0.7379912663755459,0.6271870794078063,0.8375209380234506,0.8271298593879239,False,False,True,53.02013422818792,47.651006711409394
BHR,1.8653846153846154,0.8831168831168832,0.8389261744966443,0.9195402298850575,False,False,True,97.31543624161074,62.41610738255034
BGD,0.8783366764388212,0.9286073403720463,0.16885493535594165,0.15812236106600114,False,False,True,63.08724832214765,63.758389261744966
ARM,0.27122196604485427,0.3839973766191178,1.3190436933223413,0.9477550053311219,False,False,True,24.161073825503358,34.22818791946309
BRB,0.19604863221884505,0.1525679758308156,3.8119440914866582,3.9318479685452163,False,False,True,20.13422818791946,18.120805369127517
BEL,0.2352319489105259,0.21320115156017838,1.8022282094225588,1.8945555449239306,False,False,True,22.14765100671141,22.14765100671141
BTN,1.138157894736842,1.0294117647058822,,,False,False,False,,
BOL,0.878395694515633,0.9299176322769789,1.0914796370830206,1.1574074074074074,False,False,True,63.758389261744966,64.42953020134227
BIH,0.08976930792377136,0.02030217186024541,2.300966405890474,2.3137436372049978,False,False,True,7.38255033557047,7.38255033557047
BWA,1.1079387186629526,1.2772390188248717,0.9910802775024777,0.751503006012024,False,False,True,73.8255033557047,81.87919463087249
BRA,0.7250224568143164,0.6970056677554652,0.5552462517126345,0.5949672205221883,False,False,True,51.67785234899329,51.67785234899329
BLZ,1.2938775510204081,1.4113207547169813,,,False,False,False,,
SLB,1.091549295774648,1.2915811088295688,,,False,False,False,,
BRN,0.9609236234458258,0.9416666666666667,1.8115942028985508,2.1459227467811157,False,False,True,67.78523489932886,65.77181208053692
BGR,-0.035686792037831316,-0.04891836069137945,2.7370701944460283,2.7431706480740656,False,False,True,2.684563758389262,3.3557046979865772
MMR,0.5118178580966795,0.53857402297224,0.3385888206804163,0.3525768770886348,False,False,True,40.939597315436245,42.281879194630875
BDI,1.703279336230739,1.584385026737968,,,False,False,False,,
BLR,0.1021509323153722,0.09106350125458396,1.1656176108169314,1.238324370223606,False,False,True,8.053691275167784,13.422818791946309
KHM,0.8453514739229024,0.7888663220088625,0.14745637748832638,0.15482272797646696,False,False,True,59.06040268456376,58.38926174496645
