country_iso3,gco_country,who_region,income_label,dirac_matched,unit_pressure_rank,selected_site_cases_per_mv_unit_2050,high_growth_q75,lower_quartile_unit_density,acceleration_risk,selected_site_cases_2024,selected_site_cases_2050,selected_site_case_increase_2050,selected_site_relative_case_growth_2050,mv_therapy_units,mv_units_per_1000_selected_site_cases_2050
DNK,Denmark,EURO,High income,1,127.0,468.6727272727273,0,0,0,21855.0,25777.0,3922.0,0.1794555021734157,55.0,2.1336850680839508
DOM,Dominican Republic,PAHO,Upper middle income,1,52.0,1233.4761904761904,0,0,0,12353.0,25903.0,13550.0,1.0968995385736258,21.0,0.8107169053777554
ECU,Ecuador,PAHO,Upper middle income,1,90.0,732.7105263157895,0,0,0,12856.0,27843.0,14987.0,1.1657591785936527,38.0,1.364795460259311
SLV,El Salvador,PAHO,Lower middle income,1,107.0,568.3571428571429,0,0,0,4485.0,7957.0,3472.0,0.7741360089186177,14.0,1.7594570818147544
GNQ,Equatorial Guinea,AFRO,Upper middle income,0,,,0,0,0,599.0,1298.0,699.0,1.1669449081803005,,
ETH,Ethiopia,AFRO,Low income,1,3.0,33204.333333333336,1,1,1,41349.0,99613.0,58264.0,1.409078816900046,3.0,0.0301165510525734
ERI,Eritrea,AFRO,Low income,0,,,0,0,0,1374.0,2953.0,1579.0,1.1491994177583698,,
EST,Estonia,EURO,High income,1,124.0,479.0,0,0,0,4130.0,4790.0,660.0,0.1598062953995157,10.0,2.0876826722338206
FJI,Fiji,WPRO,Upper middle income,0,,,0,0,0,955.0,1376.0,421.0,0.4408376963350785,,
FIN,Finland,EURO,High income,1,141.0,396.48,0,0,0,17664.0,19824.0,2160.0,0.1222826086956521,50.0,2.522195318805488
FRA,France (metropolitan),EURO,High income,1,130.0,446.18070175438595,0,0,0,223353.0,254323.0,30970.0,0.1386594314828992,570.0,2.241244401804005
GUF,French Guyana,PAHO,,0,,,1,0,0,314.0,721.0,407.0,1.2961783439490446,,
PYF,French Polynesia,WPRO,High income,0,,,0,0,0,649.0,1197.0,548.0,0.8443759630200308,,
DJI,Djibouti,EMRO,Lower middle income,0,,,0,0,0,556.0,1042.0,486.0,0.8741007194244604,,
GAB,Gabon,AFRO,Upper middle income,1,74.0,885.0,1,0,0,805.0,1770.0,965.0,1.1987577639751552,2.0,1.1299435028248588
GEO,Georgia,EURO,Upper middle income,1,117.0,493.4,0,0,0,7981.0,9868.0,1887.0,0.2364365367748402,20.0,2.026753141467369
GMB,The Republic of the Gambia,AFRO,Low income,0,,,1,0,0,940.0,2242.0,1302.0,1.3851063829787231,,
PSE,Gaza Strip and West Bank,EMRO,Lower middle income,0,,,1,0,0,3661.0,9705.0,6044.0,1.650915050532641,,
DEU,Germany,EURO,High income,1,138.0,399.8948824343015,0,0,0,268177.0,289124.0,20947.0,0.0781088609388575,723.0,2.5006571574826024
GHA,Ghana,AFRO,Lower middle income,1,26.0,5716.5,1,1,1,15246.0,34299.0,19053.0,1.2497048406139315,6.0,0.1749322137671652
GRC,Greece,EURO,High income,1,97.0,663.3275862068965,0,0,0,35387.0,38473.0,3086.0,0.0872071664735637,58.0,1.5075507498765368
GLP,"France, Guadeloupe",PAHO,,1,147.0,325.0,0,0,0,1170.0,975.0,-195.0,-0.1666666666666666,3.0,3.076923076923077
GUM,Guam,WPRO,High income,0,,,0,0,0,253.0,355.0,102.0,0.4031620553359684,,
GTM,Guatemala,PAHO,Upper middle income,1,32.0,2852.875,1,1,1,9266.0,22823.0,13557.0,1.4630908698467515,8.0,0.3505235946194628
GIN,Guinea,AFRO,Low income,0,,,1,0,0,5468.0,12022.0,6554.0,1.1986100950987564,,
GUY,Guyana,PAHO,Upper middle income,1,45.0,1486.0,0,0,0,843.0,1486.0,643.0,0.7627520759193357,1.0,0.6729475100942126
HTI,Haiti,PAHO,Lower middle income,0,,,0,0,0,7060.0,14386.0,7326.0,1.0376770538243627,,
HND,Honduras,PAHO,Lower middle income,1,61.0,1139.7,1,0,0,4704.0,11397.0,6693.0,1.4228316326530612,10.0,0.8774238834781083
HUN,Hungary,EURO,High income,1,95.0,673.7777777777778,0,0,0,34017.0,36384.0,2367.0,0.069582855631008,54.0,1.4841688654353562
ISL,Iceland,EURO,High income,1,79.0,824.0,0,0,0,1050.0,1648.0,598.0,0.5695238095238095,2.0,1.2135922330097086
IND,India,SEARO,Lower middle income,1,36.0,2131.3577749683946,0,1,0,920812.0,1685904.0,765092.0,0.8308883898124698,791.0,0.4691844850003321
IDN,Indonesia,SEARO,Lower middle income,1,27.0,4835.0114942528735,0,1,0,252217.0,420646.0,168429.0,0.6677940027833176,87.0,0.2068247409936146
IRN,"Iran, Islamic Republic of",EMRO,Lower middle income,1,53.0,1205.3196721311476,0,0,0,69616.0,147049.0,77433.0,1.1122874051942082,122.0,0.8296554209821216
IRQ,Iraq,EMRO,Upper middle income,1,87.0,753.8947368421053,1,0,0,16997.0,42972.0,25975.0,1.5282108607401306,57.0,1.3264451270594806
IRL,Ireland,EURO,High income,1,110.0,536.575,0,0,0,14328.0,21463.0,7135.0,0.4979759910664433,40.0,1.8636723663979875
ISR,Israel,EURO,High income,1,100.0,621.1025641025641,0,0,0,14963.0,24223.0,9260.0,0.6188598543072913,39.0,1.6100400445857244
ITA,Italy,EURO,High income,1,136.0,408.8835978835979,0,0,0,208457.0,231837.0,23380.0,0.1121574233534973,567.0,2.4456838209604164
CIV,C̫te d'Ivoire,AFRO,Lower middle income,1,22.0,7143.5,1,1,1,11712.0,28574.0,16862.0,1.4397199453551912,4.0,0.1399874011338979
JAM,Jamaica,PAHO,Upper middle income,1,46.0,1410.8,0,0,0,4353.0,7054.0,2701.0,0.620491614978176,5.0,0.7088176920895946
JPN,Japan,WPRO,High income,1,126.0,474.4340770791075,0,0,0,467492.0,467792.0,300.0,0.0006417222112891,986.0,2.10777439545781
KAZ,Kazakhstan,EURO,Upper middle income,1,122.0,480.11764705882354,0,0,0,14445.0,24486.0,10041.0,0.6951194184839045,51.0,2.0828228375398186
JOR,Jordan,EMRO,Upper middle income,1,99.0,642.5652173913044,1,0,0,4818.0,14779.0,9961.0,2.067455375674554,23.0,1.5562622640232762
KEN,Kenya,AFRO,Lower middle income,1,31.0,2881.5555555555557,1,1,1,21375.0,51868.0,30493.0,1.4265730994152046,18.0,0.3470347805968998
PRK,"Korea, Democratic People's Republic of",SEARO,Low income,1,6.0,22059.0,0,1,0,32902.0,44118.0,11216.0,0.3408911312382226,2.0,0.0453329706695679
KOR,"Korea, Republic of",WPRO,High income,1,88.0,749.0263157894736,0,0,0,98321.0,142315.0,43994.0,0.4474527313595264,190.0,1.335066577662228
KWT,Kuwait,EMRO,High income,1,89.0,738.6,0,0,0,2052.0,3693.0,1641.0,0.7997076023391813,5.0,1.353912808015164
KGZ,Kyrgyzstan,EURO,Lower middle income,1,19.0,7923.0,0,1,0,4123.0,7923.0,3800.0,0.9216589861751152,1.0,0.1262148176195885
LAO,Lao People's Democratic Republic,WPRO,Lower middle income,1,24.0,6091.0,0,1,0,3114.0,6091.0,2977.0,0.9560051380860628,1.0,0.1641766540797898
LBN,Lebanon,EMRO,Upper middle income,1,68.0,982.5,0,0,0,9637.0,15720.0,6083.0,0.6312130331015876,16.0,1.0178117048346056
LSO,Lesotho,AFRO,Lower middle income,0,,,0,0,0,1264.0,2457.0,1193.0,0.9438291139240508,,
LVA,Latvia,EURO,High income,1,140.0,396.73333333333335,0,0,0,5893.0,5951.0,58.0,0.0098421856439843,15.0,2.520584775667955
LBR,Liberia,AFRO,Low income,0,,,0,0,0,2239.0,4840.0,2601.0,1.1616793211255023,,
LBY,Libya,EMRO,Upper middle income,1,76.0,860.3636363636364,1,0,0,3975.0,9464.0,5489.0,1.380880503144654,11.0,1.162299239222316
LTU,Lithuania,EURO,High income,1,105.0,593.3125,0,0,0,9019.0,9493.0,474.0,0.0525557157112761,16.0,1.685452438638997
LUX,Luxembourg,EURO,High income,1,98.0,659.5,0,0,0,1538.0,2638.0,1100.0,0.7152145643693107,4.0,1.516300227445034
MDG,Madagascar,AFRO,Low income,1,16.0,8518.333333333334,1,1,1,11058.0,25555.0,14497.0,1.3109965635738832,3.0,0.1173938563881823
MWI,Malawi,AFRO,Low income,1,8.0,17159.5,1,1,1,12864.0,34319.0,21455.0,1.667832711442786,2.0,0.0582767563157434
MYS,Malaysia,WPRO,Upper middle income,1,81.0,803.6478873239437,0,0,0,27920.0,57059.0,29139.0,1.043660458452722,71.0,1.2443260484761387
MDV,Maldives,SEARO,Upper middle income,0,,,1,0,0,266.0,870.0,604.0,2.2706766917293235,,
MLI,Mali,AFRO,Low income,1,14.0,9134.5,1,1,1,7181.0,18269.0,11088.0,1.5440746414148447,2.0,0.1094750670534785
MLT,Malta,EURO,High income,1,96.0,668.6666666666666,0,0,0,1378.0,2006.0,628.0,0.455732946298984,3.0,1.4955134596211366
MTQ,"France, Martinique",PAHO,,1,145.0,337.0,0,0,0,1278.0,1011.0,-267.0,-0.2089201877934272,3.0,2.967359050445104
MRT,Mauritania,AFRO,Lower middle income,1,54.0,1191.0,1,0,0,2003.0,4764.0,2761.0,1.3784323514727908,4.0,0.8396305625524769
MUS,Mauritius,AFRO,Upper middle income,1,132.0,437.4,0,0,0,1596.0,2187.0,591.0,0.3703007518796992,5.0,2.286236854138089
MEX,Mexico,PAHO,Upper middle income,1,84.0,779.5833333333334,0,0,0,96035.0,168390.0,72355.0,0.7534232311136565,216.0,1.282736504543025
MNG,Mongolia,WPRO,Lower middle income,1,73.0,888.6666666666666,1,0,0,2240.0,5332.0,3092.0,1.3803571428571428,6.0,1.1252813203300824
MDA,Republic of Moldova,EURO,Upper middle income,1,63.0,1045.8,0,0,0,5855.0,5229.0,-626.0,-0.1069171648163962,5.0,0.956205775482884
MNE,Montenegro,EURO,Upper middle income,1,131.0,444.5,0,0,0,1678.0,1778.0,100.0,0.0595947556615017,4.0,2.249718785151856
MAR,Morocco,EMRO,Lower middle income,1,114.0,515.967032967033,0,0,0,27802.0,46953.0,19151.0,0.6888353355873679,91.0,1.9381083210870444
MOZ,Mozambique,AFRO,Low income,1,5.0,28686.0,1,1,1,11653.0,28686.0,17033.0,1.461683686604308,1.0,0.0348602105556717
OMN,Oman,EMRO,High income,1,125.0,476.85714285714283,1,0,0,1512.0,3338.0,1826.0,1.2076719576719577,7.0,2.097064110245656
NAM,Namibia,AFRO,Upper middle income,1,41.0,1702.3333333333333,1,0,0,2133.0,5107.0,2974.0,1.3942803563056727,3.0,0.5874290189935383
NPL,Nepal,SEARO,Lower middle income,1,44.0,1538.923076923077,0,0,0,11373.0,20006.0,8633.0,0.7590785193000967,13.0,0.6498050584824553
NLD,The Netherlands,EURO,High income,1,123.0,479.5064935064935,0,0,0,59460.0,73844.0,14384.0,0.2419105280861083,154.0,2.0854774930935487
CUW,Cura̤ao,,High income,1,150.0,144.66666666666666,0,0,0,369.0,434.0,65.0,0.1761517615176151,3.0,6.912442396313364
NCL,New Caledonia,WPRO,High income,0,,,0,0,0,687.0,1174.0,487.0,0.7088791848617176,,
VUT,Vanuatu,WPRO,Lower middle income,0,,,0,0,0,134.0,293.0,159.0,1.1865671641791045,,
NZL,New Zealand,WPRO,High income,1,109.0,543.8285714285714,0,0,0,13837.0,19034.0,5197.0,0.3755871937558719,35.0,1.838814752548072
NIC,Nicaragua,PAHO,Lower middle income,1,42.0,1576.8333333333333,1,0,0,3955.0,9461.0,5506.0,1.3921618204804045,6.0,0.6341824331466018
NER,Niger,AFRO,Low income,1,7.0,19785.0,1,1,1,7410.0,19785.0,12375.0,1.6700404858299596,1.0,0.0505433409148344
NGA,Nigeria,AFRO,Lower middle income,1,10.0,11925.764705882353,0,1,0,97049.0,202738.0,105689.0,1.0890271924491752,17.0,0.0838520652270417
NOR,Norway,EURO,High income,1,106.0,585.4545454545455,0,0,0,18536.0,25760.0,7224.0,0.3897280966767371,44.0,1.708074534161491
PAK,Pakistan,EMRO,Lower middle income,1,35.0,2527.8333333333335,0,1,0,104033.0,212338.0,108305.0,1.0410638931877385,84.0,0.3955957011933804
PAN,Panama,PAHO,Upper middle income,1,72.0,914.4166666666666,1,0,0,4523.0,10973.0,6450.0,1.42604466062348,12.0,1.0935933655335823
PNG,Papua New Guinea,WPRO,Lower middle income,1,17.0,8418.5,1,1,1,7299.0,16837.0,9538.0,1.3067543499109466,2.0,0.1187860070083744
PRY,Paraguay,PAHO,Upper middle income,1,47.0,1369.3636363636363,0,0,0,7020.0,15063.0,8043.0,1.1457264957264957,11.0,0.73026621522937
PER,Peru,PAHO,Upper middle income,1,75.0,873.2352941176471,0,0,0,31024.0,59380.0,28356.0,0.9140020629190304,68.0,1.1451667228022904
PHL,Philippines,WPRO,Lower middle income,1,38.0,2000.4556962025317,0,1,0,76691.0,158036.0,81345.0,1.060685086907199,79.0,0.4998861019008327
POL,Poland,EURO,High income,1,85.0,776.6242774566474,0,0,0,111802.0,134356.0,22554.0,0.2017316327078227,173.0,1.287623924499092
PRT,Portugal,EURO,High income,1,102.0,617.7894736842105,0,0,0,33925.0,35214.0,1289.0,0.0379955784819454,57.0,1.6186743908672687
GNB,Guinea-Bissau,AFRO,Low income,0,,,1,0,0,805.0,1882.0,1077.0,1.337888198757764,,
TLS,Timor-Leste,SEARO,Lower middle income,0,,,0,0,0,840.0,1664.0,824.0,0.9809523809523808,,
PRI,Puerto Rico,PAHO,High income,1,137.0,408.5,0,0,0,8300.0,8170.0,-130.0,-0.0156626506024096,20.0,2.4479804161566707
