all_cancer_absolute_case_increase_2050,all_cancer_cases_2024,all_cancer_cases_2030,all_cancer_cases_2040,all_cancer_cases_2050,all_cancer_deaths_2024,all_cancer_deaths_2030,all_cancer_deaths_2040,all_cancer_deaths_2050,all_cancer_relative_case_growth_2050,brachy_units_per_1000_selected_site_cases_2050,brachytherapy_flag,brachytherapy_units,country_code,country_iso3,ct_units,dirac_country,dirac_iso3,dirac_last_update_year,dirac_matched,dirac_region,gco_country,hdi_label,acceleration_risk,high_growth_q75,income_label,kv_therapy_units,lower_quartile_unit_density,mv_therapy_units,mv_units_per_1000_all_cancer_cases_2050,mv_units_per_1000_selected_site_cases_2050,mv_units_per_million_population_2024,population_2024,population_2030,population_2040,population_2050,proton_ion_units,rt_centres_per_10000_selected_site_cases_2050,rt_centres_total,rt_centres_with_rt,selected_site_case_increase_2050,selected_site_death_increase_2050,selected_site_cases_2024,selected_site_cases_2030,selected_site_cases_2040,selected_site_cases_2050,selected_site_deaths_2024,selected_site_deaths_2030,selected_site_deaths_2040,selected_site_deaths_2050,selected_site_relative_case_growth_2050,selected_site_relative_death_growth_2050,selected_site_cases_per_mv_unit_2050,share_global_selected_site_case_increment,simulators,treatment_planning_systems,unit_pressure_rank,who_region
373288.0,373173.0,445717.0,586868.0,746461.0,277532.0,333085.0,443542.0,571569.0,1.000308168061462,0.04414426345296429,No,10,50,BGD,0,Bangladesh,BGD,2026,1,Southern Asia,Bangladesh,Medium HDI,0,0,Lower middle income,0,1,37,0.049567224543546146,0.16333377477596786,0.2131798450740251,173562374.0,186072416.0,202589437.0,214709106.0,0,0.7945967421533572,22,18,112486.0,86811.0,114044.0,136295.0,179246.0,226530.0,84152.0,100838.0,133712.0,170963.0,0.9863386061520115,1.0315975853217987,6122.4324324324325,0.021781347308177813,0,0,23,SEARO
8479.0,21265.0,23623.0,27707.0,29744.0,10909.0,12199.0,14468.0,15727.0,0.39873030801786974,0.3752814610958219,No,3,51,ARM,0,Armenia,ARM,2026,1,Western Asia,Armenia,High HDI,0,0,Upper middle income,0,0,8,0.2689618074233459,1.0007505629221916,2.690116411425059,2973849.0,2851300.0,2665531.0,2495217.0,0,2.501876407305479,2,2,2301.0,1130.0,5693.0,6336.0,7434.0,7994.0,2685.0,2983.0,3495.0,3815.0,0.4041805726330581,0.4208566108007449,999.25,0.0004455566039873153,0,0,67,EURO
428.0,2106.0,2302.0,2496.0,2534.0,1227.0,1389.0,1655.0,1799.0,0.20322886989553657,1.402524544179523,No,1,52,BRB,0,Barbados,BRB,2025,1,Caribbean,Barbados,Very High HDI,0,0,High income,0,0,3,1.1838989739542225,4.207573632538569,10.620559278651614,282471.0,282498.0,276355.0,264224.0,0,14.025245441795231,1,1,103.0,158.0,610.0,661.0,705.0,713.0,303.0,346.0,420.0,461.0,0.16885245901639345,0.5214521452145214,237.66666666666666,1.9944515519640798e-05,0,0,149,PAHO
39051.0,151649.0,164000.0,181561.0,190700.0,57241.0,63709.0,75637.0,83507.0,0.2575091164465311,0.582259165562382,No,29,56,BEL,0,Belgium,BEL,2023,1,Western Europe,Belgium,Very High HDI,0,0,High income,2,0,99,0.519140010487677,1.9877123238164076,8.433591557412612,11738771.0,11824151.0,11892216.0,11870914.0,1,7.228044813877846,36,36,9226.0,6321.0,40580.0,43786.0,47902.0,49806.0,14233.0,15832.0,18691.0,20554.0,0.22735337604731395,0.44410876132930516,503.09090909090907,0.001786486409555398,0,0,115,EURO
1381.0,1284.0,1526.0,2051.0,2665.0,931.0,1118.0,1558.0,2095.0,1.0755451713395638,nan,,,64,BTN,,,,,0,,Bhutan,Medium HDI,0,0,Lower middle income,,0,,nan,nan,nan,791535.0,820704.0,862137.0,882347.0,,nan,,,299.0,245.0,280.0,337.0,448.0,579.0,205.0,247.0,340.0,450.0,1.0678571428571428,1.1951219512195121,nan,5.789718582886018e-05,,,,SEARO
31984.0,33450.0,39132.0,51004.0,65434.0,19987.0,23519.0,31089.0,40556.0,0.9561733931240658,0.6627881287281833,No,9,68,BOL,0,"Bolivia, Plurinational State of",BOL,2025,1,South America,Bolivia (Plurinational State of),Medium HDI,0,0,Lower middle income,0,0,16,0.24452119693125898,1.1782900066278812,1.2889375964085044,12413324.0,13405571.0,14899406.0,16110170.0,0,8.100743795566684,14,11,6730.0,3682.0,6849.0,8055.0,10569.0,13579.0,3534.0,4171.0,5533.0,7216.0,0.9826252007592349,1.0418788907753254,848.6875,0.0013031707713318697,0,0,77,PAHO
965.0,29625.0,30738.0,31523.0,30590.0,17788.0,18929.0,20057.0,19927.0,0.03257383966244726,0.4033342296316214,No,3,70,BIH,0,Bosnia and Herzegovina,BIH,2026,1,Southern Europe,Bosnia Herzegovina,High HDI,0,0,Upper middle income,0,0,20,0.6538084341288003,2.6888948642108095,6.320587131979864,3164263.0,3013984.0,2745019.0,2455176.0,0,8.066684592632429,6,6,183.0,485.0,7255.0,7518.0,7688.0,7438.0,4384.0,4644.0,4907.0,4869.0,0.025223983459682978,0.11062956204379562,371.9,3.5435401360138506e-05,0,0,142,EURO
7339.0,5693.0,6969.0,9657.0,13032.0,3097.0,3805.0,5350.0,7385.0,1.2891269980678026,0.7688364941055869,No,3,72,BWA,0,Botswana,BWA,2026,1,Southern Africa,Botswana,High HDI,0,1,Upper middle income,0,0,3,0.2302025782688766,0.7688364941055869,1.1899331654205423,2521150.0,2765926.0,3126650.0,3437439.0,0,7.688364941055869,3,3,2244.0,1328.0,1658.0,2038.0,2854.0,3902.0,952.0,1172.0,1646.0,2280.0,1.353437876960193,1.3949579831932772,1300.6666666666667,0.00043451934782596065,0,0,50,AFRO
941249.0,1231868.0,1455469.0,1837060.0,2173117.0,570151.0,689936.0,903718.0,1101497.0,0.7640826776894927,0.22251233813531185,No,128,76,BRA,0,Brazil,BRA,2026,1,South America,Brazil,High HDI,0,0,Upper middle income,39,0,370,0.17026234666610218,0.6431997274223857,1.7452946925843118,211998582.0,216074423.0,219237093.0,217489306.0,0,3.8418145881174937,227,221,245654.0,127839.0,329595.0,389141.0,488634.0,575249.0,137463.0,166323.0,217668.0,265302.0,0.7453207724631745,0.9299884332511293,1554.7270270270271,0.047567475878270295,0,0,43,PAHO
1232.0,830.0,1046.0,1502.0,2062.0,402.0,512.0,752.0,1068.0,1.4843373493975904,nan,,,84,BLZ,,,,,0,,Belize,High HDI,0,1,Lower middle income,,0,,nan,nan,nan,417080.0,449850.0,491605.0,516636.0,,nan,,,384.0,187.0,255.0,323.0,466.0,639.0,111.0,142.0,211.0,298.0,1.5058823529411764,1.6846846846846846,nan,7.4356252034389e-05,,,,PAHO
2212.0,1742.0,2164.0,3018.0,3954.0,842.0,1044.0,1490.0,2028.0,1.269804822043628,nan,,,90,SLB,,,,,0,,Solomon Islands,Medium HDI,0,1,Lower middle income,,0,,nan,nan,nan,819207.0,938357.0,1135464.0,1309117.0,,nan,,,591.0,273.0,430.0,541.0,768.0,1021.0,185.0,230.0,333.0,458.0,1.3744186046511628,1.4756756756756757,nan,0.00011443891914667681,,,,WPRO
1778.0,1686.0,2079.0,2789.0,3464.0,943.0,1200.0,1682.0,2150.0,1.0545670225385528,1.2515644555694618,No,1,96,BRN,0,Brunei Darussalam,BRN,2025,1,South-Eastern Asia,Brunei Darussalam,Very High HDI,0,0,High income,0,0,2,0.5773672055427251,2.5031289111389237,4.322156237303666,462732.0,482458.0,505984.0,519559.0,0,12.515644555694617,1,1,400.0,256.0,399.0,490.0,647.0,799.0,211.0,266.0,367.0,467.0,1.0025062656641603,1.2132701421800949,399.5,7.745442920248854e-05,0,0,139,WPRO
-2497.0,62540.0,62740.0,62041.0,60043.0,38539.0,39333.0,39860.0,39657.0,-0.039926447073872724,0.6972174684667554,No,11,100,BGR,0,Bulgaria,BGR,2025,1,Eastern Europe,Bulgaria,High HDI,0,0,Upper middle income,5,0,48,0.799427077261296,3.0424034987640236,7.103011573321503,6757697.0,6458252.0,5907739.0,5402224.0,0,15.845851556062623,25,25,-874.0,272.0,16651.0,16650.0,16397.0,15777.0,9393.0,9576.0,9711.0,9665.0,-0.05248933997958081,0.028957734483125733,328.6875,-0.00016923792780743744,0,0,146,EURO
79610.0,148801.0,169639.0,201976.0,228411.0,106603.0,122757.0,148354.0,169738.0,0.5350098453639425,0.1125058261945708,No,7,104,MMR,0,Myanmar,MMR,2025,1,South-Eastern Asia,Myanmar,Medium HDI,0,0,Lower middle income,0,1,23,0.1006956757774363,0.36966200035358976,0.42201757427968023,54500100.0,56351040.0,58169869.0,58623239.0,0,1.4465034796444816,9,9,22753.0,17553.0,39466.0,45367.0,54589.0,62219.0,27725.0,32159.0,39260.0,45278.0,0.5765215628642376,0.6331109107303877,2705.1739130434785,0.004405801569110554,0,0,34,SEARO
