country_iso3,country_display,who_region,income_label,dirac_last_update_year,selected_site_relative_case_growth_2050,mv_units_per_1000_selected_site_cases_2050,current_screen_positive,recent_dirac_record,recent_record_screen_positive,recency_disposition
KGZ,Kyrgyzstan,EURO,Lower middle income,2025.0,0.9216589861751152,0.1262148176195885,False,True,False,Not classified
LAO,Lao People's Democratic Republic,WPRO,Lower middle income,2022.0,0.9560051380860628,0.1641766540797898,False,False,False,Not classified
LBN,Lebanon,EMRO,Upper middle income,2026.0,0.6312130331015876,1.0178117048346056,False,True,False,Not classified
LVA,Latvia,EURO,High income,2023.0,0.0098421856439843,2.520584775667955,False,True,False,Not classified
LBY,Libya,EMRO,Upper middle income,2023.0,1.380880503144654,1.162299239222316,False,True,False,Not classified
LTU,Lithuania,EURO,High income,2024.0,0.0525557157112761,1.685452438638997,False,True,False,Not classified
LUX,Luxembourg,EURO,High income,2017.0,0.7152145643693107,1.516300227445034,False,False,False,Not classified
MDG,Madagascar,AFRO,Low income,2022.0,1.3109965635738832,0.1173938563881823,True,False,False,Primary country; record before 2023
MWI,Malawi,AFRO,Low income,2026.0,1.667832711442786,0.0582767563157434,True,True,True,Primary country retained
MYS,Malaysia,WPRO,Upper middle income,2026.0,1.043660458452722,1.2443260484761387,False,True,False,Not classified
MLI,Mali,AFRO,Low income,2026.0,1.5440746414148447,0.1094750670534785,True,True,True,Primary country retained
MLT,Malta,EURO,High income,2024.0,0.455732946298984,1.4955134596211366,False,True,False,Not classified
MTQ,"France, Martinique",PAHO,,2023.0,-0.2089201877934272,2.967359050445104,False,True,False,Not classified
MRT,Mauritania,AFRO,Lower middle income,2019.0,1.3784323514727908,0.8396305625524769,False,False,False,Not classified
MUS,Mauritius,AFRO,Upper middle income,2024.0,0.3703007518796992,2.286236854138089,False,True,False,Not classified
MEX,Mexico,PAHO,Upper middle income,2026.0,0.7534232311136565,1.282736504543025,False,True,False,Not classified
MNG,Mongolia,WPRO,Lower middle income,2025.0,1.3803571428571428,1.1252813203300824,False,True,False,Not classified
MDA,Republic of Moldova,EURO,Upper middle income,2025.0,-0.1069171648163962,0.956205775482884,False,True,False,Not classified
MNE,Montenegro,EURO,Upper middle income,2026.0,0.0595947556615017,2.249718785151856,False,True,False,Not classified
MAR,Morocco,EMRO,Lower middle income,2026.0,0.6888353355873679,1.9381083210870444,False,True,False,Not classified
MOZ,Mozambique,AFRO,Low income,2025.0,1.461683686604308,0.0348602105556717,True,True,True,Primary country retained
OMN,Oman,EMRO,High income,2025.0,1.2076719576719577,2.097064110245656,False,True,False,Not classified
NAM,Namibia,AFRO,Upper middle income,2024.0,1.3942803563056727,0.5874290189935383,False,True,True,New in recent-record analysis
NPL,Nepal,SEARO,Lower middle income,2026.0,0.7590785193000967,0.6498050584824553,False,True,False,Not classified
NLD,The Netherlands,EURO,High income,2025.0,0.2419105280861083,2.0854774930935487,False,True,False,Not classified
CUW,Cura̤ao,,High income,2024.0,0.1761517615176151,6.912442396313364,False,True,False,Not classified
NZL,New Zealand,WPRO,High income,2024.0,0.3755871937558719,1.838814752548072,False,True,False,Not classified
NIC,Nicaragua,PAHO,Lower middle income,2026.0,1.3921618204804045,0.6341824331466018,False,True,True,New in recent-record analysis
NER,Niger,AFRO,Low income,2021.0,1.6700404858299596,0.0505433409148344,True,False,False,Primary country; record before 2023
