all_cancer_absolute_case_increase_2050,all_cancer_cases_2024,all_cancer_cases_2030,all_cancer_cases_2040,all_cancer_cases_2050,all_cancer_deaths_2024,all_cancer_deaths_2030,all_cancer_deaths_2040,all_cancer_deaths_2050,all_cancer_relative_case_growth_2050,brachy_units_per_1000_selected_site_cases_2050,brachytherapy_flag,brachytherapy_units,country_code,country_iso3,ct_units,dirac_country,dirac_iso3,dirac_last_update_year,dirac_matched,dirac_region,gco_country,hdi_label,meets_both_thresholds,high_growth_q75,income_label,kv_therapy_units,lower_quartile_unit_density,mv_therapy_units,mv_units_per_1000_all_cancer_cases_2050,mv_units_per_1000_selected_site_cases_2050,mv_units_per_million_population_2024,population_2024,population_2030,population_2040,population_2050,proton_ion_units,rt_centres_per_10000_selected_site_cases_2050,rt_centres_total,rt_centres_with_rt,selected_site_case_increase_2050,selected_site_death_increase_2050,selected_site_cases_2024,selected_site_cases_2030,selected_site_cases_2040,selected_site_cases_2050,selected_site_deaths_2024,selected_site_deaths_2030,selected_site_deaths_2040,selected_site_deaths_2050,selected_site_relative_case_growth_2050,selected_site_relative_death_growth_2050,selected_site_cases_per_mv_unit_2050,share_global_selected_site_case_increment,simulators,treatment_planning_systems,unit_pressure_rank,who_region,country_display,gco2022_selected_cases_2022,gco2022_selected_cases_2025,gco2022_selected_cases_2040,gco2022_selected_cases_2050,gco2022_selected_growth_2022_2050,gco2022_selected_growth_2025_2050,gco2024_selected_cases_2024,gco2024_selected_cases_2025,gco2024_selected_cases_2040,gco2024_selected_cases_2050,gco2024_selected_growth_2024_2050,gco2024_selected_growth_2025_2050,gco2022_mv_per_1000_selected_cases_2050,gco2022_high_growth_q75,gco2022_lower_density_q25,gco2022_screen_positive,gco2022_growth_percentile,gco2024_growth_percentile_common,current_screen_positive,burden_version_transition,gco2024_mv_per_1000_selected_cases_2050,gco2022_common_year_screen_positive,gco2024_common_year_screen_positive,gco2022_common_year_growth_percentile,gco2024_common_year_growth_percentile,common_year_burden_version_transition,mv_units_per_1000_selected_cases_2024,screen_positive_2024_density,screen_positive_q80_q20,support_baseline_density,support_strict_q80_q20,support_all_cancer_burden,support_2040_horizon,support_rt_centres_metric,support_mortality_growth,support_excluding_small_baseline_burden,sensitivity_support_count_7,recent_dirac_record,recent_record_screen_positive
373288.0,373173.0,445717.0,586868.0,746461.0,277532.0,333085.0,443542.0,571569.0,1.000308168061462,0.0441442634529642,No,10.0,50,BGD,0.0,Bangladesh,BGD,2026.0,1,Southern Asia,Bangladesh,Medium HDI,0,0,Lower middle income,0.0,1,37.0,0.0495672245435461,0.1633337747759678,0.2131798450740251,173562374.0,186072416.0,202589437.0,214709106.0,0.0,0.7945967421533572,22.0,18.0,112486.0,86811.0,114044.0,136295.0,179246.0,226530.0,84152.0,100838.0,133712.0,170963.0,0.9863386061520116,1.031597585321799,6122.4324324324325,0.0217813473081778,0.0,0.0,23.0,SEARO,Bangladesh,103122.0,113752.0,172571.0,213524.0,1.0705959930955566,0.8771010619593501,114044,117515,179246,226530,0.9863386061520115,0.9276688082372463,0.17328262865064348,False,True,False,65.1006711409396,64.42953020134227,False,Not screen-positive in either version,0.16333377477596786,False,False,63.758389261744966,64.42953020134227,Not screen-positive in either version,0.32443618252604256,False,False,False,False,False,False,False,False,False,0,True,False
8479.0,21265.0,23623.0,27707.0,29744.0,10909.0,12199.0,14468.0,15727.0,0.3987303080178697,0.3752814610958219,No,3.0,51,ARM,0.0,Armenia,ARM,2026.0,1,Western Asia,Armenia,High HDI,0,0,Upper middle income,0.0,0,8.0,0.2689618074233459,1.0007505629221916,2.690116411425059,2973849.0,2851300.0,2665531.0,2495217.0,0.0,2.501876407305479,2.0,2.0,2301.0,1130.0,5693.0,6336.0,7434.0,7994.0,2685.0,2983.0,3495.0,3815.0,0.4041805726330581,0.4208566108007449,999.25,0.0004455566039873,0.0,0.0,67.0,EURO,Armenia,4666.0,4519.0,5264.0,5730.0,0.22803257608229746,0.2679796415136092,5693,5791,7434,7994,0.4041805726330581,0.38041788982904506,1.3961605584642234,False,False,False,19.463087248322147,34.22818791946309,False,Not screen-positive in either version,1.0007505629221916,False,False,23.48993288590604,34.22818791946309,Not screen-positive in either version,1.4052344985069383,False,False,False,False,False,False,False,False,False,0,True,False
428.0,2106.0,2302.0,2496.0,2534.0,1227.0,1389.0,1655.0,1799.0,0.2032288698955365,1.402524544179523,No,1.0,52,BRB,0.0,Barbados,BRB,2025.0,1,Caribbean,Barbados,Very High HDI,0,0,High income,0.0,0,3.0,1.1838989739542225,4.207573632538569,10.620559278651614,282471.0,282498.0,276355.0,264224.0,0.0,14.025245441795231,1.0,1.0,103.0,158.0,610.0,661.0,705.0,713.0,303.0,346.0,420.0,461.0,0.1688524590163934,0.5214521452145214,237.66666666666663,1.99445155196408e-05,0.0,0.0,149.0,PAHO,Barbados,634.0,618.0,721.0,736.0,0.1608832807570978,0.19093851132686085,610,618,705,713,0.16885245901639345,0.15372168284789645,4.076086956521739,False,False,False,12.751677852348994,18.79194630872483,False,Not screen-positive in either version,4.207573632538569,False,False,19.463087248322147,18.79194630872483,Not screen-positive in either version,4.918032786885246,False,False,False,False,False,False,False,False,False,0,True,False
39051.0,151649.0,164000.0,181561.0,190700.0,57241.0,63709.0,75637.0,83507.0,0.2575091164465311,0.582259165562382,No,29.0,56,BEL,0.0,Belgium,BEL,2023.0,1,Western Europe,Belgium,Very High HDI,0,0,High income,2.0,0,99.0,0.519140010487677,1.987712323816408,8.433591557412612,11738771.0,11824151.0,11892216.0,11870914.0,1.0,7.228044813877846,36.0,36.0,9226.0,6321.0,40580.0,43786.0,47902.0,49806.0,14233.0,15832.0,18691.0,20554.0,0.2273533760473139,0.4441087613293051,503.09090909090907,0.0017864864095553,0.0,0.0,115.0,EURO,Belgium,40599.0,42233.0,49798.0,52076.0,0.28269169191359395,0.23306419150900953,40580,41135,47902,49806,0.22735337604731395,0.21079372796888296,1.901067670327982,False,False,False,23.48993288590604,22.14765100671141,False,Not screen-positive in either version,1.9877123238164076,False,False,22.14765100671141,22.14765100671141,Not screen-positive in either version,2.43962543124692,False,False,False,False,False,False,False,False,False,0,True,False
1381.0,1284.0,1526.0,2051.0,2665.0,931.0,1118.0,1558.0,2095.0,1.0755451713395638,,,,64,BTN,,,,,0,,Bhutan,Medium HDI,0,0,Lower middle income,,0,,,,,791535.0,820704.0,862137.0,882347.0,,,,,299.0,245.0,280.0,337.0,448.0,579.0,205.0,247.0,340.0,450.0,1.0678571428571428,1.195121951219512,,5.789718582886018e-05,,,,SEARO,Bhutan,261.0,286.0,463.0,610.0,1.3371647509578544,1.132867132867133,280,287,448,579,1.0678571428571428,1.0174216027874565,,False,False,False,,,False,Not comparable,,False,False,,,Not comparable,,False,False,False,False,False,False,False,False,False,0,False,False
31984.0,33450.0,39132.0,51004.0,65434.0,19987.0,23519.0,31089.0,40556.0,0.9561733931240658,0.6627881287281833,No,9.0,68,BOL,0.0,"Bolivia, Plurinational State of",BOL,2025.0,1,South America,Bolivia (Plurinational State of),Medium HDI,0,0,Lower middle income,0.0,0,16.0,0.2445211969312589,1.1782900066278812,1.2889375964085044,12413324.0,13405571.0,14899406.0,16110170.0,0.0,8.100743795566684,14.0,11.0,6730.0,3682.0,6849.0,8055.0,10569.0,13579.0,3534.0,4171.0,5533.0,7216.0,0.9826252007592348,1.0418788907753254,848.6875,0.0013031707713318,0.0,0.0,77.0,PAHO,Bolivia (Plurinational State of),8393.0,7683.0,11491.0,14408.0,0.716668652448469,0.8753091240400885,6849,7034,10569,13579,0.9826252007592349,0.930480523173159,1.110494169905608,False,False,False,46.308724832214764,63.758389261744966,False,Not screen-positive in either version,1.1782900066278812,False,False,63.08724832214765,65.77181208053692,Not screen-positive in either version,2.3361074609432033,False,False,False,False,False,False,False,False,False,0,True,False
965.0,29625.0,30738.0,31523.0,30590.0,17788.0,18929.0,20057.0,19927.0,0.0325738396624472,0.4033342296316214,No,3.0,70,BIH,0.0,Bosnia and Herzegovina,BIH,2026.0,1,Southern Europe,Bosnia Herzegovina,High HDI,0,0,Upper middle income,0.0,0,20.0,0.6538084341288003,2.688894864210809,6.320587131979864,3164263.0,3013984.0,2745019.0,2455176.0,0.0,8.066684592632429,6.0,6.0,183.0,485.0,7255.0,7518.0,7688.0,7438.0,4384.0,4644.0,4907.0,4869.0,0.0252239834596829,0.1106295620437956,371.9,3.5435401360138506e-05,0.0,0.0,142.0,EURO,Bosnia Herzegovina,7194.0,7117.0,7752.0,7731.0,0.07464553794829024,0.08627230574680343,7255,7306,7688,7438,0.025223983459682978,0.018067341910758282,2.5869874531108525,False,False,False,8.053691275167784,7.38255033557047,False,Not screen-positive in either version,2.6888948642108095,False,False,7.38255033557047,7.38255033557047,Not screen-positive in either version,2.7567195037904892,False,False,False,False,False,False,False,False,False,0,True,False
7339.0,5693.0,6969.0,9657.0,13032.0,3097.0,3805.0,5350.0,7385.0,1.2891269980678026,0.7688364941055869,No,3.0,72,BWA,0.0,Botswana,BWA,2026.0,1,Southern Africa,Botswana,High HDI,0,1,Upper middle income,0.0,0,3.0,0.2302025782688766,0.7688364941055869,1.1899331654205425,2521150.0,2765926.0,3126650.0,3437439.0,0.0,7.688364941055869,3.0,3.0,2244.0,1328.0,1658.0,2038.0,2854.0,3902.0,952.0,1172.0,1646.0,2280.0,1.353437876960193,1.3949579831932772,1300.6666666666667,0.0004345193478259,0.0,0.0,50.0,AFRO,Botswana,1273.0,1401.0,2276.0,2956.0,1.3220738413197173,1.1099214846538188,1658,1715,2854,3902,1.353437876960193,1.2752186588921284,1.0148849797023005,False,False,False,73.8255033557047,81.87919463087249,False,Not screen-positive in either version,0.7688364941055869,False,False,73.8255033557047,81.87919463087249,Not screen-positive in either version,1.8094089264173703,False,False,False,False,False,False,False,False,False,0,True,False
941249.0,1231868.0,1455469.0,1837060.0,2173117.0,570151.0,689936.0,903718.0,1101497.0,0.7640826776894927,0.2225123381353118,No,128.0,76,BRA,0.0,Brazil,BRA,2026.0,1,South America,Brazil,High HDI,0,0,Upper middle income,39.0,0,370.0,0.1702623466661021,0.6431997274223857,1.7452946925843118,211998582.0,216074423.0,219237093.0,217489306.0,0.0,3.8418145881174937,227.0,221.0,245654.0,127839.0,329595.0,389141.0,488634.0,575249.0,137463.0,166323.0,217668.0,265302.0,0.7453207724631745,0.9299884332511292,1554.7270270270271,0.0475674758782702,0.0,0.0,43.0,PAHO,Brazil,340984.0,361446.0,522472.0,621415.0,0.8224168875958989,0.7192471351183856,329595,339422,488634,575249,0.7453207724631745,0.6947899664724149,0.5954153021732659,False,False,False,51.67785234899329,53.02013422818792,False,Not screen-positive in either version,0.6431997274223857,False,False,51.67785234899329,52.348993288590606,Not screen-positive in either version,1.1225898451129417,False,False,False,False,False,False,False,False,False,0,True,False
1232.0,830.0,1046.0,1502.0,2062.0,402.0,512.0,752.0,1068.0,1.4843373493975904,,,,84,BLZ,,,,,0,,Belize,High HDI,0,1,Lower middle income,,0,,,,,417080.0,449850.0,491605.0,516636.0,,,,,384.0,187.0,255.0,323.0,466.0,639.0,111.0,142.0,211.0,298.0,1.5058823529411764,1.6846846846846846,,7.4356252034389e-05,,,,PAHO,Belize,229.0,245.0,416.0,562.0,1.4541484716157205,1.2938775510204081,255,265,466,639,1.5058823529411764,1.411320754716981,,False,False,False,,,False,Not comparable,,False,False,,,Not comparable,,False,False,False,False,False,False,False,False,False,0,False,False
